完整版litv,#genre#


1 頻道表,https://www.litv.tv/channel/watch/litv-vchannel1
2 LiTV 精采預告,https://www.litv.tv/channel/watch/litv-vchannel2
4 民視第一台,https://www.litv.tv/channel/watch/4gtv-4gtv003
5 民視台灣台,https://www.litv.tv/channel/watch/4gtv-4gtv001
6 民視,https://www.litv.tv/channel/watch/4gtv-4gtv155
7 綜藝大集合,https://www.litv.tv/channel/watch/litv-vchannel7
8 台視,https://www.litv.tv/channel/watch/4gtv-4gtv066
9 包青天 1993版,https://www.litv.tv/channel/watch/litv-vchannel9
10 中視,https://www.litv.tv/channel/watch/4gtv-4gtv040
11 天才衝衝衝 精選,https://www.litv.tv/channel/watch/litv-vchannel11
12 華視,https://www.litv.tv/channel/watch/4gtv-4gtv041
13 公視戲劇,https://www.litv.tv/channel/watch/4gtv-4gtv042
14 新哆啦A夢(中文版)2台,https://www.litv.tv/channel/watch/litv-vchannel14
15 好消息,https://www.litv.tv/channel/watch/litv-ftv16
16 空中英語教室HD頻道,https://www.litv.tv/channel/watch/litv-playout955
17 哆啦Ａ夢台,https://www.litv.tv/channel/watch/litv-vchannel17
18 全民星攻略,https://www.litv.tv/channel/watch/litv-vchannel18
19 新哆啦A夢(中文版),https://www.litv.tv/channel/watch/litv-vchannel19
20 進擊的台灣,https://www.litv.tv/channel/watch/litv-vchannel20
21 最強綜藝秀,https://www.litv.tv/channel/watch/litv-vchannel21
22 去有風的地方,https://www.litv.tv/channel/watch/litv-vchannel22
23 台灣1001個故事,https://www.litv.tv/channel/watch/litv-vchannel23
24 公視劇展台,https://www.litv.tv/channel/watch/litv-playout24
25 台灣啟示錄,https://www.litv.tv/channel/watch/litv-vchannel25
26 WTO姐妹會,https://www.litv.tv/channel/watch/litv-vchannel26
27 民視綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv004
28 世界第一等,https://www.litv.tv/channel/watch/litv-vchannel28
30 詹姆士出走料理,https://www.litv.tv/channel/watch/litv-vchannel30
31 Focus歡樂綜合台,https://www.litv.tv/channel/watch/litv-fast1223
32 東森娛樂台,https://www.litv.tv/channel/watch/litv-vchannel32
33 食在有健康,https://www.litv.tv/channel/watch/litv-vchannel33
34 亞洲旅遊台,https://www.litv.tv/channel/watch/4gtv-4gtv076
35 韶華若錦,https://www.litv.tv/channel/watch/litv-vchannel35
36 中天亞洲台,https://www.litv.tv/channel/watch/4gtv-4gtv109
37 小明星大跟班,https://www.litv.tv/channel/watch/litv-vchannel37
38 經典劇場,https://www.litv.tv/channel/watch/litv-playout38
39 龍華戲劇台,https://www.litv.tv/channel/watch/litv-xinchuang18
41 長樂曲,https://www.litv.tv/channel/watch/litv-vchannel41
43 東森購物1台,https://www.litv.tv/channel/watch/4gtv-4gtv102
44 民視影劇台,https://www.litv.tv/channel/watch/litv-ftv09
45 龍華偶像台,https://www.litv.tv/channel/watch/litv-xinchuang12
46 龍華日韓台,https://www.litv.tv/channel/watch/litv-xinchuang11
47 Yes娛樂,https://www.litv.tv/channel/watch/litv-vchannel47
48 Focus風采戲劇台,https://www.litv.tv/channel/watch/litv-fast1224
49 東森購物2台,https://www.litv.tv/channel/watch/4gtv-4gtv103
