酷9江蘇,#genre#

江蘇衛視,http://A/ku9/js/webview.js?id=https://live.jstv.com

浙江頻道,#genre#

浙江衛視,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
錢江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
經濟生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
教科影視,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
民生休閒,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
新聞,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
少兒頻道,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江國際,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
好易購,https://ali-m-l.cztv.com/channels/lantian/channel011/1080p.m3u8
之江紀錄,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8

酷9黑龍江,#genre#

黑龍江衛視,http://A/ku9/js/webview.js?id=https://zmt-m.hljtv.com/live_tv.html?tv_id=10
黑龍江都市,http://A/ku9/js/webview.js?id=https://zmt-m.hljtv.com/live_tv.html?tv_id=50
黑龍江新聞法治,http://A/ku9/js/webview.js?id=https://zmt-m.hljtv.com/live_tv.html?tv_id=49
黑龍江文體,http://A/ku9/js/webview.js?id=https://zmt-m.hljtv.com/live_tv.html?tv_id=11
黑龍江少兒,http://A/ku9/js/webview.js?id=https://zmt-m.hljtv.com/live_tv.html?tv_id=16
黑龍江影視,http://A/ku9/js/webview.js?id=https://zmt-m.hljtv.com/live_tv.html?tv_id=12
黑龍江農業科教,http://A/ku9/js/webview.js?id=https://zmt-m.hljtv.com/live_tv.html?tv_id=15
